asic_id,flowcell_id,centre_name,pore_type,run_type,experiment_accession,run_accession,submitted_ftp,submitted_ascp
FAF14035,3976726082,Notts,R9.4,Ultra,ERX2240884,ERR2184717,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF14035-3976726082-Notts-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF14035-3976726082-Notts-R9.4-Ultra.tar.gz
FAB42476,3843483077,UBC,R9.4,Ligation,ERX2240885,ERR2184718,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42476-3843483077-UBC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42476-3843483077-UBC-R9.4-Ligation.tar.gz
FAB42395,4178605061,Norwich,R9.4,Ligation,ERX2240886,ERR2184719,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42395-4178605061-Norwich-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42395-4178605061-Norwich-R9.4-Ligation.tar.gz
FAF01127,353303576,Bham,R9.4,Ligation,ERX2240887,ERR2184720,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01127-353303576-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01127-353303576-Bham-R9.4-Ligation.tar.gz
FAF09713,4111860526,Bham,R9.4,Ultra,ERX2240888,ERR2184721,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09713-4111860526-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09713-4111860526-Bham-R9.4-Ultra.tar.gz
FAB42810,352384898,Norwich,R9.4,Ligation,ERX2240889,ERR2184722,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42810-352384898-Norwich-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42810-352384898-Norwich-R9.4-Ligation.tar.gz
FAB46683,4246923067,Bham,R9.4,Ligation,ERX2240890,ERR2184723,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB46683-4246923067-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB46683-4246923067-Bham-R9.4-Ligation.tar.gz
FAF15694,4109802543,Bham,R9.4,Ultra,ERX2240891,ERR2184724,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15694-4109802543-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15694-4109802543-Bham-R9.4-Ultra.tar.gz
FAB45321,19064779,Notts,R9.4,Ligation,ERX2240892,ERR2184725,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45321-19064779-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45321-19064779-Notts-R9.4-Ligation.tar.gz
FAB42316,216722908,Notts,R9.4,Ligation,ERX2240893,ERR2184726,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42316-216722908-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42316-216722908-Notts-R9.4-Ligation.tar.gz
FAB42205,3573838535,Notts,R9.4,Ligation,ERX2240894,ERR2184727,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42205-3573838535-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42205-3573838535-Notts-R9.4-Ligation.tar.gz
FAF09640,4245291640,Bham,R9.4,Ultra,ERX2240895,ERR2184728,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09640-4245291640-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09640-4245291640-Bham-R9.4-Ultra.tar.gz
FAB49164,4045668814,UCSC,R9.4,Ligation,ERX2240896,ERR2184729,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49164-4045668814-UCSC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49164-4045668814-UCSC-R9.4-Ligation.tar.gz
